"Nombre de imagen","PID","Nombre de sesi¢n","N£m. de sesi¢n","Uso de memoria"
"svchost.exe","14212","Services","0","3,624 KB"
"svchost.exe","13060","Services","0","4,780 KB"
"smartscreen.exe","8184","Console","1","17,728 KB"
"svchost.exe","14828","Services","0","24,244 KB"
"RuntimeBroker.exe","6644","Console","1","16,916 KB"
"Telegram.exe","21056","Console","1","41,120 KB"
"svchost.exe","13452","Services","0","372 KB"
"MEGAsync.exe","20192","Console","1","63,468 KB"
"Taskmgr.exe","16704","Console","1","51,224 KB"
"explorer.exe","2880","Console","1","153,692 KB"
"ShellExperienceHost.exe","14204","Console","1","11,268 KB"
"StartMenuExperienceHost.exe","22452","Console","1","45,656 KB"
"RuntimeBroker.exe","22024","Console","1","23,756 KB"
"RuntimeBroker.exe","6348","Console","1","16,100 KB"
"RuntimeBroker.exe","21672","Console","1","27,020 KB"
"uTorrent.exe","19196","Console","1","93,368 KB"
"utorrentie.exe","21996","Console","1","87,136 KB"
"utorrentie.exe","12616","Console","1","58,808 KB"
"helper.exe","10640","Console","1","8,992 KB"
"rundll32.exe","6592","Console","1","6,132 KB"
"IDMan.exe","19400","Console","1","28,636 KB"
"swriter.exe","22144","Console","1","3,248 KB"
"soffice.exe","2220","Console","1","4,816 KB"
"soffice.bin","17528","Console","1","89,976 KB"
"svchost.exe","16728","Services","0","10,108 KB"
"SearchUI.exe","20832","Console","1","32,348 KB"
"opera.exe","20120","Console","1","246,136 KB"
"opera.exe","7328","Console","1","149,928 KB"
"opera.exe","14696","Console","1","52,420 KB"
"opera.exe","15956","Console","1","63,448 KB"
"opera.exe","17260","Console","1","79,536 KB"
"opera.exe","13644","Console","1","23,192 KB"
"opera.exe","4748","Console","1","110,940 KB"
"opera.exe","14992","Console","1","73,120 KB"
"opera.exe","11464","Console","1","22,900 KB"
"opera.exe","12968","Console","1","185,436 KB"
"opera.exe","11956","Console","1","22,856 KB"
"opera.exe","9924","Console","1","22,900 KB"
"opera.exe","11636","Console","1","23,120 KB"
"opera.exe","20440","Console","1","22,880 KB"
"opera.exe","13400","Console","1","46,848 KB"
"opera.exe","18544","Console","1","23,024 KB"
"opera.exe","9340","Console","1","65,304 KB"
"opera.exe","11388","Console","1","20,760 KB"
"opera.exe","17680","Console","1","54,904 KB"
"opera.exe","20176","Console","1","66,396 KB"
"opera.exe","4264","Console","1","75,776 KB"
"svchost.exe","16568","Services","0","7,000 KB"
"svchost.exe","2768","Services","0","4,772 KB"
"Teams.exe","7988","Console","1","116,704 KB"
"Teams.exe","1560","Console","1","18,232 KB"
"Teams.exe","12860","Console","1","343,408 KB"
"Teams.exe","5316","Console","1","111,000 KB"
"Teams.exe","8688","Console","1","108,540 KB"
"opera.exe","22348","Console","1","76,152 KB"
"opera.exe","16488","Console","1","225,508 KB"
"opera.exe","7120","Console","1","61,600 KB"
"opera.exe","11604","Console","1","62,652 KB"
"opera.exe","3108","Console","1","48,132 KB"
"opera.exe","18044","Console","1","185,132 KB"
"opera.exe","17060","Console","1","80,300 KB"
"opera.exe","6852","Console","1","71,544 KB"
"opera.exe","11476","Console","1","90,816 KB"
"FoxitPhantomPDF.exe","15092","Console","1","26,864 KB"
"opera.exe","17876","Console","1","119,540 KB"
"opera.exe","7308","Console","1","121,428 KB"
"opera.exe","19920","Console","1","141,156 KB"
"audiodg.exe","7880","Services","0","396,100 KB"
"opera.exe","7692","Console","1","40,396 KB"
"Microsoft.Photos.exe","3708","Console","1","51,608 KB"
"RuntimeBroker.exe","6688","Console","1","21,476 KB"
"WindowsCamera.exe","13256","Console","1","40 KB"
"svchost.exe","8016","Services","0","6,016 KB"
"WerFault.exe","8580","Console","1","7,040 KB"
"javaw.exe","2780","Console","1","42,252 KB"
"WmiPrvSE.exe","11436","Services","0","10,576 KB"
"Teams.exe","19328","Console","1","34,952 KB"
"Teams.exe","9824","Console","1","76,068 KB"
"Teams.exe","16100","Console","1","36,864 KB"
"Teams.exe","3168","Console","1","35,068 KB"
"backgroundTaskHost.exe","20952","Console","1","19,808 KB"
"tasklist.exe","10720","Console","1","8,772 KB"
"conhost.exe","12944","Console","1","6,116 KB"
"RuntimeBroker.exe","7944","Console","1","13,620 KB"
