Nombre de la Imagen,PID,Nombre de Sesión,Numero de Sesión,Uso de Memoria,Estado del Proceso,
"taskhostw.exe","1868","Console","1","12676 KB","1",
"svchost.exe","14212","Services","0","3640 KB","0",
"svchost.exe","13060","Services","0","5368 KB","1",
"smartscreen.exe","8184","Console","1","17368 KB","4",
"svchost.exe","14828","Services","0","17168 KB","4",
"RuntimeBroker.exe","6644","Console","1","18808 KB","4",
"Telegram.exe","21056","Console","1","41352 KB","4",
"svchost.exe","13452","Services","0","372 KB","1",
"MEGAsync.exe","20192","Console","1","28744 KB","0",
"explorer.exe","2880","Console","1","110740 KB","1",
"ShellExperienceHost.exe","14204","Console","1","44348 KB","3",
"StartMenuExperienceHost.exe","22452","Console","1","43548 KB","1",
"RuntimeBroker.exe","22024","Console","1","17936 KB","0",
"RuntimeBroker.exe","6348","Console","1","15792 KB","2",
"RuntimeBroker.exe","21672","Console","1","21444 KB","2",
"uTorrent.exe","19196","Console","1","85824 KB","4",
"utorrentie.exe","21996","Console","1","105184 KB","1",
"utorrentie.exe","12616","Console","1","59300 KB","2",
"helper.exe","10640","Console","1","9296 KB","4",
"rundll32.exe","6592","Console","1","5368 KB","1",
"svchost.exe","16728","Services","0","9748 KB","2",
"SearchUI.exe","20832","Console","1","30284 KB","1",
"opera.exe","20120","Console","1","176392 KB","2",
"opera.exe","7328","Console","1","62740 KB","4",
"opera.exe","14696","Console","1","62972 KB","1",
"opera.exe","15956","Console","1","20052 KB","2",
"opera.exe","17260","Console","1","50880 KB","2",
"opera.exe","13644","Console","1","16428 KB","2",
"opera.exe","4748","Console","1","30872 KB","3",
"opera.exe","14992","Console","1","51916 KB","1",
"opera.exe","11464","Console","1","20432 KB","1",
"opera.exe","12968","Console","1","65840 KB","4",
"opera.exe","11956","Console","1","19284 KB","2",
"opera.exe","9924","Console","1","15764 KB","2",
"opera.exe","11636","Console","1","21120 KB","0",
"opera.exe","20440","Console","1","21008 KB","1",
"opera.exe","13400","Console","1","19292 KB","2",
"opera.exe","18544","Console","1","28992 KB","3",
"opera.exe","9340","Console","1","23756 KB","4",
"opera.exe","11388","Console","1","14476 KB","2",
"opera.exe","17680","Console","1","18856 KB","3",
"opera.exe","20176","Console","1","79768 KB","0",
"opera.exe","4264","Console","1","48188 KB","3",
"svchost.exe","16568","Services","0","7060 KB","2",
"svchost.exe","2768","Services","0","5880 KB","3",
"opera.exe","22348","Console","1","124184 KB","4",
"opera.exe","16488","Console","1","59368 KB","2",
"opera.exe","7120","Console","1","18496 KB","4",
"opera.exe","18044","Console","1","82188 KB","3",
"opera.exe","17060","Console","1","112412 KB","3",
"opera.exe","11476","Console","1","41708 KB","0",
"FoxitPhantomPDF.exe","15092","Console","1","22096 KB","4",
"opera.exe","17876","Console","1","42256 KB","3",
"Microsoft.Photos.exe","3708","Console","1","12924 KB","1",
"RuntimeBroker.exe","6688","Console","1","23240 KB","0",
"WindowsCamera.exe","13256","Console","1","40 KB","4",
"svchost.exe","8016","Services","0","6472 KB","2",
"WerFault.exe","8580","Console","1","6740 KB","4",
"WerFault.exe","16896","Console","1","14928 KB","0",
"opera.exe","20704","Console","1","36 KB","1",
"opera.exe","7564","Console","1","224244 KB","1",
"rundll32.exe","10196","Console","1","6440 KB","2",
"opera.exe","19924","Console","1","37596 KB","1",
"opera.exe","18580","Console","1","18412 KB","4",
"netbeans64.exe","4752","Console","1","829144 KB","4",
"opera.exe","20516","Console","1","38712 KB","3",
"git-bash.exe","11500","Console","1","4624 KB","1",
"mintty.exe","16744","Console","1","16004 KB","2",
"conhost.exe","12880","Console","1","6896 KB","4",
"bash.exe","17544","Console","1","6740 KB","0",
"audiodg.exe","7648","Services","0","14364 KB","0",
"opera.exe","21656","Console","1","24144 KB","2",
"opera.exe","18272","Console","1","67856 KB","1",
"opera.exe","11664","Console","1","31116 KB","0",
"opera.exe","15224","Console","1","22660 KB","3",
"cmd.exe","16972","Console","1","3528 KB","4",
"conhost.exe","3120","Console","1","10448 KB","4",
"opera.exe","14888","Console","1","35068 KB","3",
"opera.exe","3888","Console","1","280880 KB","0",
"sublime_text.exe","15192","Console","1","19612 KB","3",
"plugin_host.exe","12020","Console","1","16644 KB","2",
"opera.exe","3828","Console","1","48560 KB","0",
"backgroundTaskHost.exe","21944","Console","1","14120 KB","2",
"notepad.exe","19784","Console","1","12572 KB","4",
"dllhost.exe","1296","Console","1","11932 KB","4",
"notepad.exe","884","Console","1","15372 KB","0",
"svchost.exe","3284","Services","0","8424 KB","1",
"svchost.exe","4092","Services","0","15764 KB","0",
"SearchProtocolHost.exe","18412","Services","0","13100 KB","3",
"SearchFilterHost.exe","9096","Services","0","8856 KB","3",
"java.exe","18828","Console","1","49492 KB","4",
"conhost.exe","15920","Console","1","6256 KB","2",
"tasklist.exe","11624","Console","1","8664 KB","0",
"conhost.exe","12956","Console","1","6116 KB","3",
"WmiPrvSE.exe","2344","Services","0","9032 KB","4",
"Test","879","Consola","0","78975 KB","2",
